2025-04-08T19:33:44.909Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /index.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:33:45.528Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:33:47.592Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:33:47.630Z | product_view | User: 2 | Product: 6 | Category: Гаджеты | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:33:48.691Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:33:50.720Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:33:50.757Z | product_view | User: 2 | Product: 2 | Category: Электроника | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:33:51.708Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:33:53.627Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:33:53.662Z | product_view | User: 2 | Product: 7 | Category: Одежда | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:06.214Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /index.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:08.461Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:10.363Z | product_view | User: 2 | Product: 1 | Category: Электроника | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:12.124Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:13.432Z | product_view | User: 2 | Product: 6 | Category: Гаджеты | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:14.544Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:16.612Z | product_view | User: 2 | Product: 7 | Category: Одежда | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:33.564Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:36.403Z | product_view | User: 2 | Product: 2 | Category: Электроника | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:37.484Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:39.004Z | product_view | User: 2 | Product: 5 | Category: Бытовая техника | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:40.044Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:41.667Z | product_view | User: 2 | Product: 5 | Category: Бытовая техника | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:39:44.048Z | product_view | User: 2 | Product: 5 | Category: Бытовая техника | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:40:59.319Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /stats.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:40:59.327Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /stats.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:13.518Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /index.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:14.732Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /cart.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:16.869Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:18.408Z | product_view | User: 2 | Product: 5 | Category: Бытовая техника | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:20.867Z | product_view | User: 2 | Product: 2 | Category: Электроника | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:23.380Z | product_view | User: 2 | Product: 1 | Category: Электроника | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:40.191Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /index.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:41.228Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:41.924Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /index.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:42.682Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /account.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:44.973Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /stats.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-08T19:41:45.007Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /stats.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-10T19:54:25.049Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /index.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-10T19:54:46.566Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-10T19:55:07.247Z | page_view | User: 2 | Product: N/A | Category: N/A | Page: /stats.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-12T00:16:30.952Z | add_to_cart | User: 2 | Product: 6 | Category: Гаджеты | Page: /catalog.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
2025-04-12T00:16:32.362Z | product_view | User: 2 | Product: 7 | Category: Одежда | Page: /product.html | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 YaBrowser/25.2.0.0 Safari/537.36
